code,chapter,title,jsonVerse,txtVerse,araVerse,recommendedVerse,verdict,source,url
2CH,33,"A morte de Manassés",18,2,57,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/33
2CH,33,"O reinado de Amom",21,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/33
2CH,34,"O reinado de Josias",1,2,13,13,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/34
2CH,34,"A purificação do templo e do culto",3,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/34
2CH,34,"O rei repara o templo",8,2,2,2,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/34
2CH,34,"Hilquias acha o Livro da Lei",14,2,24,24,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/34
2CH,34,"Josias manda consultar a profetisa Hulda",19,2,35,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/34
2CH,34,"Josias renova a aliança ante o Senhor",29,2,17,17,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/34
2CH,35,"A celebração da Páscoa",1,2,7,7,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/35
2CH,35,"A morte de Josias no vale de Megido",20,2,24,24,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/35
2CH,36,"O reinado e deposição de Joacaz",1,2,40,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/36
2CH,36,"O reinado de Jeoaquim",5,2,15,15,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/36
2CH,36,"O reinado de Joaquim",9,2,25,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/36
2CH,36,"O reinado de Zedequias",11,2,26,2,fix_needed,tsv_extraido,https://www.bibliaonline.com.br/ara/2ch/36
2CH,36,"O cativeiro de Judá",17,2,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/2ch/36
NEH,4,"A defesa contra os adversários",33,1,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/neh/4
NEH,7,"Contribuições para o templo",69,70,33,33,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/neh/7
NEH,9,"A aliança do povo sobre guardar a Lei",1,38,32,32,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/neh/9
PSA,4,"""Confiança em Deus, na angústia""",2,1,1,1,fix_needed,txt_ara,https://www.bibliaonline.com.br/ara/sl/4
