livro	capitulo	versiculo	linha_txt	titulo_ara	referencias
2CO	6	4	344997	A abnegação de Paulo	
2CO	6	11	345080	O amor com amor se paga	
2CO	6	14	345102	Nenhuma comunhão com os incrédulos	
2CO	7	2	345154	O afeto de Paulo para com os coríntios	
2CO	7	5	345188	A chegada de Tito	
2CO	8	1	345367	Judeia	
2CO	8	16	345601	O novo encargo de Tito	
2CO	9	6	345786	A sementeira e a colheita	
2CO	10	1	345902	Paulo defende a sua autoridade apostólica	
2CO	11	1	346170	Paulo continua a sua defesa	
2CO	11	7	346232	O desprendimento do apóstolo	
2CO	11	16	346369	Os sofrimentos de Paulo por amor do evangelho	
2CO	12	1	346574	As visões e revelações do Senhor	
2CO	12	7	346655	O espinho na carne	
2CO	12	11	346703	As credenciais de um apóstolo	
2CO	12	14	346737	Paulo deseja visitá-los	
2CO	12	19	346822	Paulo apela para o juiz de todos	
2CO	13	1	346878	Paulo promete investigar e castigar	
2CO	13	11	347003	Saudações	
2CO	13	13	347029	A bênção	
2JN	1	1	366309	Prefácio e saudação	
2JN	1	4	366335	O amor fraternal	
2JN	1	12	366419	Informações finais. Saudações	
2KI	1	1	117206	Acazias e o profeta Elias	
2KI	1	9	117290	Elias e os três capitães	
2KI	1	17	117437	A morte de Acazias	
2KI	2	1	117463	Eliseu é sucessor de Elias	
2KI	2	9	117582	Elias é elevado ao céu	
2KI	2	19	117731	Eliseu torna saudáveis as águas de Jericó	
2KI	2	23	117769	Rapazinhos zombam de Eliseu	
2KI	3	1	117797	O reinado de Jorão sobre Israel	
2KI	3	21	118051	A derrota de Moabe	
2KI	4	1	118135	Eliseu aumenta o azeite da viúva	
2KI	4	8	118238	Eliseu e a sunamita	
2KI	4	38	118598	A morte que havia na panela é tirada	
2KI	4	42	118656	Vinte pães satisfazem a cem homens	
2KI	5	1	118719	Naamã é curado de lepra	
2KI	5	20	118942	Geazi é atacado de lepra	
2KI	6	1	119069	Eliseu faz flutuar um machado	
2KI	6	8	119121	A ação de Eliseu na guerra contra os siros	
2KI	6	24	119345	Reina fome em Samaria	
2KI	7	3	119516	Quatro leprosos revelam a fuga dos siros	
2KI	7	16	119733	Cumpriu-se a profecia de Eliseu	
2KI	8	1	119807	Restaurados os bens da sunamita	
2KI	8	7	119924	Eliseu e Hazael de Damasco	
2KI	8	2	120063	O reinado de Jeorão	
2KI	8	2	120149	O reinado de Acazias	
2KI	9	1	120250	Jeú é ungido rei de Israel	
2KI	9	14	120425	Jeú mata a Jorão e a Acazias	
2KI	9	30	120652	A morte de Jezabel	
2KI	10	1	120749	Jeú extermina a casa de Acabe	
2KI	10	15	120912	Jeú encontra a Jonadabe	
2KI	10	18	120952	Jeú mata os adoradores de Baal	
2KI	10	32	121127	A morte de Jeú	
2KI	11	2	121214	Atalia usurpa o trono de Judá	
2KI	11	2	121252	Joás ungido rei de Judá	
2KI	11	2	121397	A morte de Atalia	
2KI	11	2	121441	A aliança de Joiada	
2KI	12	2	121536	O reinado de Joás	
2KI	12	2	121791	A conspiração contra o rei Joás	
2KI	13	1	121825	O reinado de Jeoacaz	
2KI	13	10	121956	O reinado de Jeoás	
2KI	13	14	121992	A profecia final e morte de Eliseu	
2KI	14	2	122157	O reinado de Amazias, de Judá	
2KI	14	2	122260	Amazias vence os edomitas	
2KI	14	2	122276	Amazias derrotado por Jeoás	
2KI	14	15	122395	A morte de Jeoás, rei de Israel	
2KI	14	2	122417	A morte de Amazias, rei de Judá	
2KI	14	23	122491	O reinado de Jeroboão II, de Israel	
2KI	15	2	122598	O reinado de Azarias, de Judá	
2KI	15	2	122642	Azarias é atacado de lepra	
2KI	15	8	122676	O reinado de Zacarias, de Israel	
2KI	15	13	122751	O reinado de Salum, de Israel	
2KI	15	17	122797	O reinado de Menaém, de Israel	
2KI	15	23	122847	O reinado de Pecaías, de Israel	
2KI	15	27	122918	O reinado de Peca, de Israel	
2KI	15	2	122970	O reinado de Jotão, de Judá	
2KI	16	2	123073	O reinado de Acaz, de Judá	
2KI	16	5	123117	Acaz pede socorro aos assírios	
2KI	16	2	123171	A idolatria de Acaz	
2KI	16	2	123324	A morte de Acaz	
2KI	17	1	123383	O reinado de Oseias, de Israel	
2KI	17	7	123437	A causa do cativeiro	
2KI	17	24	123680	O rei da Assíria renova a população de Samaria	
2KI	17	29	123781	O culto misto dos samaritanos	
2KI	18	2	123940	O reinado de Ezequias, de Judá	
2KI	18	2	124093	Senaqueribe invade Judá	
2KI	19	1	124465	Ezequias consulta a Isaías	Isaías 37.1-7
2KI	19	8	124555	A carta do rei da Assíria	Isaías 37.8-13
2KI	19	14	124656	A oração de Ezequias	Isaías 37.14-20
2KI	19	20	124714	O profeta conforta a Ezequias	Isaías 37.21-35
2KI	20	2	124976	A doença de Ezequias e a sua cura maravilhosa	
2KI	20	12	125119	A embaixada da Babilônia	Isaías 39.1-8
2KI	20	2	125203	A morte de Ezequias	
2KI	21	2	125272	O reinado de Manassés, de Judá	
2KI	21	10	125368	O juízo a respeito de Judá	
2KI	21	2	125463	A morte de Manassés	
2KI	21	2	125495	O reinado de Amom, de Judá	
2KI	22	2	125592	O reinado de Josias	
2KI	22	2	125622	O rei repara o templo	
2KI	22	2	125676	Hilquias acha o Livro da Lei	
2KI	23	2	125871	Josias renova a aliança ante o Senhor	
2KI	23	2	125960	A purificação do templo e do culto	
2KI	23	2	126225	A celebração da Páscoa	
2KI	23	24	126286	A piedade de Josias	
2KI	23	2	126350	A morte de Josias	
2KI	23	2	126396	O reinado e deposição de Joacaz	
2KI	23	2	126499	O reinado de Jeoaquim	
2KI	24	2	126640	O reinado de Joaquim	
2KI	24	2	126784	O reinado de Zedequias	
2KI	24	20	126839	A queda de Jerusalém	Jeremias 39.1-7;  52.3-11
2KI	25	2	126939	O cativeiro de Judá	
2KI	25	23	127195	Ismael mata a Gedalias	
